,month,date,hour,min,temp,humidity,solarenergy,snow,Taxi_Zone_ID,busyness
0,1,1,0,17,-1.1416995626264723,53,56.83750071710424,2,27,4
1,1,0,1,24,0.3166297073547806,94,95.33642032726442,8,36,6
2,1,1,2,8,-1.103299158506421,50,61.47077646545049,5,100,0
3,1,0,3,55,2.0414821018494593,87,28.540212047817228,10,64,9
4,1,1,4,43,-0.5124135357240385,61,72.62384156824447,4,77,2
5,1,0,5,39,0.3542817332990577,67,84.27195413274671,8,63,7
6,1,0,6,46,-1.0988097810947342,24,2.99253142993664,10,49,10
7,1,0,7,27,0.02800252970899548,65,59.615111402841634,7,18,10
8,1,0,8,23,0.38962026008895134,49,24.031499500639807,4,1,9
9,1,0,9,54,0.17416910365004107,56,37.94876513272507,10,70,8
10,1,1,10,17,-0.6583756710510705,21,43.41450444062652,6,48,10
11,1,0,11,14,-1.4641953036280853,18,40.787627283794556,10,48,1
12,1,1,12,35,0.019284747627338804,39,46.59621943030115,0,99,1
13,1,0,13,55,0.5967020205381158,0,31.297794810781067,9,27,9
14,1,1,14,25,0.1179169105204278,81,74.26165127287284,6,72,5
15,1,0,15,2,-0.38768575391156834,55,3.0326916146909633,7,75,5
16,1,0,16,41,-0.32905001449847676,81,4.389615369739596,6,85,7
17,1,0,17,42,1.1269098586076265,67,47.18482822238291,1,36,3
18,1,1,18,42,0.4801850706958369,36,53.09584874623655,9,86,3
19,1,0,19,3,2.533325858546587,14,56.68190531316915,0,50,6
20,1,0,20,13,-0.08657874303073733,38,49.47940923822387,9,17,10
21,1,0,21,48,0.2523272621432024,21,52.183451043674786,5,66,6
22,1,1,22,15,1.0373576896934584,21,34.83413619550881,4,44,4
23,1,1,23,25,0.037335649518753275,69,11.282341048747968,10,33,5
24,1,1,24,47,-0.9431423529537423,24,11.610241844500901,3,14,1
25,2,1,0,28,0.8021157765934221,76,77.28515493865298,8,81,2
26,2,0,1,59,-0.6823024030641263,46,55.95570677985264,3,79,0
27,2,1,2,53,-0.3561188793182658,97,11.18432598477045,3,36,6
28,2,1,3,10,-0.7549619208750037,88,55.380246689986755,7,7,8
29,2,0,4,53,-0.12009791281632037,76,78.1961830507874,1,56,1
30,2,0,5,29,-0.24147090064052926,9,19.954597086056168,6,50,9
31,2,1,6,2,-0.5044672596973314,47,99.03638305426966,7,43,4
32,2,0,7,2,-0.9302265189731835,61,21.74980016481144,9,34,7
33,2,1,8,11,-0.2738918209142151,69,72.2311437076909,6,32,6
34,2,0,9,13,-1.616399709869295,77,85.19807451654236,6,18,6
35,2,1,10,56,0.10733283686015588,69,24.675172310570847,6,98,2
36,2,0,11,39,-0.8805906398923458,47,71.26594599345765,1,93,4
37,2,1,12,3,0.5467520111637962,0,43.67963438466571,8,46,7
38,2,1,13,28,-0.132937952829971,91,31.378730059553583,9,93,8
39,2,0,14,23,-0.8097235757564448,50,15.11396673365587,3,78,7
40,2,1,15,46,-0.7455139191102949,0,4.952816315218356,1,41,3
41,2,1,16,28,-0.19474809010851638,52,97.06513382816388,3,34,10
42,2,1,17,50,1.0489327069543861,86,68.02125255792568,7,62,9
43,2,1,18,12,-1.4625970008297968,78,63.33630574445519,2,39,3
44,2,1,19,12,0.6898208100785682,1,78.01393785819096,3,21,5
45,2,0,20,30,-0.703832188115601,56,17.245023959594885,2,42,1
46,2,0,21,24,0.12619149434663263,49,32.103739642645266,7,19,6
47,2,0,22,1,-1.4133408571709791,10,26.48969880818418,4,43,1
48,2,1,23,59,-2.3123787575926236,94,32.11783839841104,4,77,6
49,2,0,24,29,1.739419174376095,7,30.08643771238101,4,2,4
